GATE_DS_SB: 979.9037><526.6403><793.1516><417.8863><2><><48><35
GATE_SB_SL: 4632.188><565.6153><3371.192><381.6074><1><><48><35
GATE_LF_SB: -680.8123><1331.614><-356.8082><1150.61><1><><48><35
SB_F03: -849.3477><1026.021><-496.6708><745.0359><1><><48><232
SB_A10: -671.0828><1087.557><-359.5481><1000.631><1><><54><35
SB_A09: -1107.957><842.931><-671.4095><769.489><1><><48><35
SB_H03: -877.3723><598.2226><-671.524><512.8409><1><Subterranean><204><78
SB_S06: -1387.224><557.1023><-793.2426><654.9196><2><><48><25
SB_H02: -253.371><483.2229><-231.5242><436.8415><1><Subterranean><204><78
SB_A04: -648.3718><397.2231><-357.5241><421.8415><1><Subterranean><54><35
SB_A13: -805.791><397.5415><-467.3475><420.4103><1><Subterranean><48><35
SB_A01: -529.3718><364.2231><-282.5246><269.8415><2><Subterranean><52><35
SB_A11: -491.3104><252.9247><-274.4574><138.5374><1><Subterranean><48><35
SB_B01: -191.3708><278.2231><-143.5242><135.8423><1><Subterranean><105><35
SB_S07: -281.0761><193.9159><-123.3432><3.42873><1><><48><35
SB_A12: 109.6911><255.9247><173.5432><123.5374><1><Subterranean><48><35
SB_C01: -221.371><371.2235><-159.5242><272.8415><2><Subterranean><148><35
SB_B02: 175.6288><376.2235><156.4761><264.8415><2><Subterranean><113><35
SB_C05: 310.6288><-41.77725><304.4758><-31.15841><2><><48><121
SB_A03: 134.6286><435.2225><213.4758><376.8415><1><Subterranean><49><35
SB_E04: 522.6294><528.2226><246.4762><509.841><1><Subterranean><254><38
SB_C06: 560.6288><289.2235><448.4751><226.8416><2><><48><121
SB_S03: 559.9043><284.6411><554.1523><328.8863><2><><48><35
SB_F02: 594.6288><-14.77694><437.4755><-57.15842><2><Filtration System><104><121
SB_D04: 833.6282><288.2231><673.4749><109.8416><2><Filtration System><48><150
SB_S04: 819.6268><567.8135><670.6855><452.9239><2><><48><35
SB_G03: 1540.637><544.2226><795.4749><513.8409><1><Subterranean><355><35
SB_F01: 1272.637><266.2229><954.4767><162.8414><2><Filtration System><105><121
